step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.006,0.4244,0.9633609056472778,1.7775165339494783e-05,,,,,,,,,,,,,,,,,
20,0.012,0.1437,0.39956197142601013,2.312602328456944e-05,,,,,,,,,,,,,,,,,
30,0.018,0.082,0.29317474365234375,2.6256074529123982e-05,,,,,,,,,,,,,,,,,
40,0.025,0.0609,0.12448344379663467,2.8476881229644103e-05,,,,,,,,,,,,,,,,,
50,0.031,0.0505,0.12409719079732895,3.0199472733914897e-05,,,,,,,,,,,,,,,,,
60,0.037,0.0465,0.1348712146282196,3.160693247419864e-05,,,,,,,,,,,,,,,,,
70,0.043,0.0434,0.08227179199457169,3.279692272883117e-05,,,,,,,,,,,,,,,,,
80,0.049,0.0405,0.18660414218902588,3.382773917471876e-05,,,,,,,,,,,,,,,,,
90,0.055,0.0393,0.1957109272480011,3.4736983718753185e-05,,,,,,,,,,,,,,,,,
100,0.062,0.0363,0.17029666900634766,3.5550330678989565e-05,,,,,,,,,,,,,,,,,
110,0.068,0.0363,0.15860730409622192,3.628609250152266e-05,,,,,,,,,,,,,,,,,
120,0.074,0.0331,0.08567528426647186,3.6957790419273306e-05,,,,,,,,,,,,,,,,,
130,0.08,0.0327,0.12419498711824417,3.757569260557988e-05,,,,,,,,,,,,,,,,,
140,0.086,0.032,0.07028808444738388,3.814778067390583e-05,,,,,,,,,,,,,,,,,
150,0.092,0.032,0.08357656002044678,3.8680381923544096e-05,,,,,,,,,,,,,,,,,
160,0.099,0.0304,0.1383935660123825,3.9178597119793427e-05,,,,,,,,,,,,,,,,,
170,0.105,0.0295,0.06854406744241714,3.964659835879661e-05,,,,,,,,,,,,,,,,,
180,0.111,0.0277,0.1269560009241104,4.0087841663827844e-05,,,,,,,,,,,,,,,,,
190,0.117,0.0279,0.10453850030899048,4.050522202490564e-05,,,,,,,,,,,,,,,,,
200,0.123,0.0278,0.07646515965461731,4.090118862406422e-05,,,,,,,,,,,,,,,,,
210,0.129,0.026,0.09472046792507172,4.127783191846037e-05,,,,,,,,,,,,,,,,,
220,0.135,0.028,0.06490901857614517,4.1636950446597326e-05,,,,,,,,,,,,,,,,,
230,0.142,0.027,0.0672009140253067,4.198010277209993e-05,,,,,,,,,,,,,,,,,
240,0.148,0.0255,0.07392026484012604,4.230864836434797e-05,,,,,,,,,,,,,,,,,
250,0.154,0.0258,0.08767983317375183,4.2623780128335014e-05,,,,,,,,,,,,,,,,,
260,0.16,0.0253,0.05392114818096161,4.292655055065455e-05,,,,,,,,,,,,,,,,,
270,0.166,0.0252,0.08613360673189163,4.321789290838239e-05,,,,,,,,,,,,,,,,,
280,0.172,0.0239,0.18358063697814941,4.3498638618980495e-05,,,,,,,,,,,,,,,,,
290,0.179,0.0241,0.1757381558418274,4.376953154429486e-05,,,,,,,,,,,,,,,,,
300,0.185,0.0236,0.19249935448169708,4.403123986861876e-05,,,,,,,,,,,,,,,,,
310,0.191,0.0228,0.07323611527681351,4.428436602838797e-05,,,,,,,,,,,,,,,,,
320,0.197,0.023,0.0502404049038887,4.4529455064868085e-05,,,,,,,,,,,,,,,,,
330,0.203,0.0233,0.08951114863157272,4.4767001691151864e-05,,,,,,,,,,,,,,,,,
340,0.209,0.0243,0.05510101467370987,4.499745630387128e-05,,,,,,,,,,,,,,,,,
350,0.216,0.0237,0.07895554602146149,4.5221230123251285e-05,,,,,,,,,,,,,,,,,
360,0.222,0.0224,0.08852004259824753,4.5438699608902516e-05,,,,,,,,,,,,,,,,,
370,0.228,0.023,0.06558127701282501,4.565021027046638e-05,,,,,,,,,,,,,,,,,
380,0.234,0.0229,0.060187727212905884,4.58560799699803e-05,,,,,,,,,,,,,,,,,
390,0.24,0.0236,0.06848092377185822,4.605660179520909e-05,,,,,,,,,,,,,,,,,
400,0.246,0.022,0.0731877014040947,4.625204656913888e-05,,,,,,,,,,,,,,,,,
410,0.252,0.0225,0.048104848712682724,4.6442665049556136e-05,,,,,,,,,,,,,,,,,
420,0.259,0.0218,0.03863617405295372,4.662868986353503e-05,,,,,,,,,,,,,,,,,
430,0.265,0.0219,0.046197451651096344,4.681033721427111e-05,,,,,,,,,,,,,,,,,
440,0.271,0.0234,0.1667851209640503,4.6987808391671985e-05,,,,,,,,,,,,,,,,,
450,0.277,0.0229,0.08270978182554245,4.7161291113173306e-05,,,,,,,,,,,,,,,,,
460,0.283,0.0208,0.04995802044868469,4.7330960717174586e-05,,,,,,,,,,,,,,,,,
470,0.289,0.0213,0.06290405988693237,4.749698122811721e-05,,,,,,,,,,,,,,,,,
480,0.296,0.0224,0.06322623044252396,4.765950630942263e-05,,,,,,,,,,,,,,,,,
490,0.302,0.0219,0.13152608275413513,4.7818680118167556e-05,,,,,,,,,,,,,,,,,
500,0.308,0.0205,0.1067381501197815,4.797463807340967e-05,,,,,,,,,,,,,,,,,
510,0.314,0.0204,0.05791127309203148,4.812750754842581e-05,,,,,,,,,,,,,,,,,
520,0.32,0.0199,0.08427132666110992,4.827740849572921e-05,,,,,,,,,,,,,,,,,
530,0.326,0.0219,0.061652760952711105,4.842445401254994e-05,,,,,,,,,,,,,,,,,
540,0.333,0.0225,0.05991758406162262,4.856875085345706e-05,,,,,,,,,,,,,,,,,
550,0.339,0.0213,0.05191678926348686,4.8710399895942775e-05,,,,,,,,,,,,,,,,,
560,0.345,0.0195,0.07779604196548462,4.884949656405515e-05,,,,,,,,,,,,,,,,,
570,0.351,0.021,0.05000058934092522,4.8986131214534845e-05,,,,,,,,,,,,,,,,,
580,0.357,0.0205,0.07598404586315155,4.9120389489369526e-05,,,,,,,,,,,,,,,,,
590,0.363,0.0209,0.06709367781877518,4.925235263821082e-05,,,,,,,,,,,,,,,,,
600,0.369,0.0199,0.04869406297802925,4.938209781369342e-05,,,,,,,,,,,,,,,,,
610,0.376,0.0207,0.06804826855659485,4.95096983423441e-05,,,,,,,,,,,,,,,,,
620,0.382,0.0202,0.05243014171719551,4.963522397346263e-05,,,,,,,,,,,,,,,,,
630,0.388,0.0203,0.13366957008838654,4.975874110808958e-05,,,,,,,,,,,,,,,,,
640,0.394,0.0202,0.061540279537439346,4.988031300994275e-05,,,,,,,,,,,,,,,,,
650,0.4,0.0206,0.046914562582969666,5e-05,,,,,,,,,,,,,,,,,
660,0.406,0.0202,0.050153255462646484,5e-05,,,,,,,,,,,,,,,,,
670,0.413,0.021,0.061426207423210144,5e-05,,,,,,,,,,,,,,,,,
680,0.419,0.0204,0.07401357591152191,5e-05,,,,,,,,,,,,,,,,,
690,0.425,0.0201,0.1307906210422516,5e-05,,,,,,,,,,,,,,,,,
700,0.431,0.0189,0.07032729685306549,5e-05,,,,,,,,,,,,,,,,,
710,0.437,0.0187,0.05407767742872238,5e-05,,,,,,,,,,,,,,,,,
720,0.443,0.0194,0.07383794337511063,5e-05,,,,,,,,,,,,,,,,,
730,0.45,0.0216,0.044847067445516586,5e-05,,,,,,,,,,,,,,,,,
740,0.456,0.0185,0.14197850227355957,5e-05,,,,,,,,,,,,,,,,,
750,0.462,0.0194,0.05536222457885742,5e-05,,,,,,,,,,,,,,,,,
760,0.468,0.0192,0.09918876737356186,5e-05,,,,,,,,,,,,,,,,,
770,0.474,0.0196,0.06529039889574051,5e-05,,,,,,,,,,,,,,,,,
780,0.48,0.0193,0.07345513254404068,5e-05,,,,,,,,,,,,,,,,,
790,0.486,0.0186,0.04913634806871414,5e-05,,,,,,,,,,,,,,,,,
800,0.493,0.0188,0.053227681666612625,5e-05,,,,,,,,,,,,,,,,,
810,0.499,0.0193,0.07014230638742447,5e-05,,,,,,,,,,,,,,,,,
812,0.5,,,,0.6380368097669313,0.41286863266198137,0.6234042552690979,0.5255052935013944,0.7367072388994063,0.7260179433592144,0.6748366012572619,0.6196252535307554,114.2537,13.129,0.105,,,,,,
820,0.505,0.0193,0.07532485574483871,5e-05,,,,,,,,,,,,,,,,,
830,0.511,0.0185,0.13591356575489044,5e-05,,,,,,,,,,,,,,,,,
840,0.517,0.0185,0.04225853830575943,5e-05,,,,,,,,,,,,,,,,,
850,0.523,0.0176,0.035757362842559814,5e-05,,,,,,,,,,,,,,,,,
860,0.53,0.0189,0.09044914692640305,5e-05,,,,,,,,,,,,,,,,,
870,0.536,0.0192,0.06108381226658821,5e-05,,,,,,,,,,,,,,,,,
880,0.542,0.0176,0.04110752046108246,5e-05,,,,,,,,,,,,,,,,,
890,0.548,0.0187,0.10842269659042358,5e-05,,,,,,,,,,,,,,,,,
900,0.554,0.0185,0.08111173659563065,5e-05,,,,,,,,,,,,,,,,,
910,0.56,0.0181,0.053919468075037,5e-05,,,,,,,,,,,,,,,,,
920,0.567,0.018,0.06089342013001442,5e-05,,,,,,,,,,,,,,,,,
930,0.573,0.0188,0.03758177161216736,5e-05,,,,,,,,,,,,,,,,,
940,0.579,0.0175,0.07459542900323868,5e-05,,,,,,,,,,,,,,,,,
950,0.585,0.0177,0.04953961446881294,5e-05,,,,,,,,,,,,,,,,,
960,0.591,0.0175,0.06240132078528404,5e-05,,,,,,,,,,,,,,,,,
970,0.597,0.0182,0.09082609415054321,5e-05,,,,,,,,,,,,,,,,,
980,0.603,0.0182,0.13170483708381653,5e-05,,,,,,,,,,,,,,,,,
990,0.61,0.0168,0.04206140339374542,5e-05,,,,,,,,,,,,,,,,,
1000,0.616,0.0185,0.07927420735359192,5e-05,,,,,,,,,,,,,,,,,
1010,0.622,0.0176,0.08361049741506577,5e-05,,,,,,,,,,,,,,,,,
1020,0.628,0.0185,0.07104247808456421,5e-05,,,,,,,,,,,,,,,,,
1030,0.634,0.018,0.049130119383335114,5e-05,,,,,,,,,,,,,,,,,
1040,0.64,0.0188,0.0376267172396183,5e-05,,,,,,,,,,,,,,,,,
1050,0.647,0.017,0.06751464307308197,5e-05,,,,,,,,,,,,,,,,,
1060,0.653,0.0166,0.0678025633096695,5e-05,,,,,,,,,,,,,,,,,
1070,0.659,0.0177,0.04789876192808151,5e-05,,,,,,,,,,,,,,,,,
1080,0.665,0.0178,0.10905321687459946,5e-05,,,,,,,,,,,,,,,,,
1090,0.671,0.0171,0.051968589425086975,5e-05,,,,,,,,,,,,,,,,,
1100,0.677,0.018,0.08450835943222046,5e-05,,,,,,,,,,,,,,,,,
1110,0.683,0.0181,0.05141109973192215,5e-05,,,,,,,,,,,,,,,,,
1120,0.69,0.0183,0.07829014211893082,5e-05,,,,,,,,,,,,,,,,,
1130,0.696,0.0172,0.07814255356788635,5e-05,,,,,,,,,,,,,,,,,
1140,0.702,0.0167,0.06247876212000847,5e-05,,,,,,,,,,,,,,,,,
1150,0.708,0.0176,0.07622537016868591,5e-05,,,,,,,,,,,,,,,,,
1160,0.714,0.0179,0.06916806101799011,5e-05,,,,,,,,,,,,,,,,,
1170,0.72,0.0181,0.0899304449558258,5e-05,,,,,,,,,,,,,,,,,
1180,0.727,0.0173,0.053138695657253265,5e-05,,,,,,,,,,,,,,,,,
1190,0.733,0.0182,0.043334782123565674,5e-05,,,,,,,,,,,,,,,,,
1200,0.739,0.0186,0.060731664299964905,5e-05,,,,,,,,,,,,,,,,,
1210,0.745,0.018,0.10856354981660843,5e-05,,,,,,,,,,,,,,,,,
1220,0.751,0.0176,0.1654376983642578,5e-05,,,,,,,,,,,,,,,,,
1230,0.757,0.0169,0.049433134496212006,5e-05,,,,,,,,,,,,,,,,,
1240,0.764,0.0178,0.08177243918180466,5e-05,,,,,,,,,,,,,,,,,
1250,0.77,0.0185,0.06655244529247284,5e-05,,,,,,,,,,,,,,,,,
1260,0.776,0.0173,0.05150601640343666,5e-05,,,,,,,,,,,,,,,,,
