step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.006,0.1116,0.5428860783576965,1.72885077664768e-05,,,,,,,,,,,,,,,,,
20,0.012,0.0425,0.08700231462717056,2.2492867184456013e-05,,,,,,,,,,,,,,,,,
30,0.018,0.0365,0.09364505857229233,2.553722228424884e-05,,,,,,,,,,,,,,,,,
40,0.025,0.0344,0.06847139447927475,2.7697226602435227e-05,,,,,,,,,,,,,,,,,
50,0.031,0.0315,0.0733550563454628,2.937265611497438e-05,,,,,,,,,,,,,,,,,
60,0.037,0.0316,0.060108546167612076,3.074158170222805e-05,,,,,,,,,,,,,,,,,
70,0.043,0.0311,0.059966836124658585,3.18989917946976e-05,,,,,,,,,,,,,,,,,
80,0.049,0.0309,0.0636865571141243,3.290158602041444e-05,,,,,,,,,,,,,,,,,
90,0.055,0.0305,0.06297270208597183,3.378593680202088e-05,,,,,,,,,,,,,,,,,
100,0.062,0.0293,0.05370323732495308,3.45770155329536e-05,,,,,,,,,,,,,,,,,
110,0.068,0.0297,0.07132873684167862,3.5292633291786904e-05,,,,,,,,,,,,,,,,,
120,0.074,0.0288,0.04686347395181656,3.5945941120207267e-05,,,,,,,,,,,,,,,,,
130,0.08,0.0285,0.057109732180833817,3.654692606424874e-05,,,,,,,,,,,,,,,,,
140,0.086,0.029,0.05541480705142021,3.7103351212676814e-05,,,,,,,,,,,,,,,,,
150,0.092,0.0293,0.05035586655139923,3.7621370632746415e-05,,,,,,,,,,,,,,,,,
160,0.099,0.0287,0.06025955080986023,3.810594543839366e-05,,,,,,,,,,,,,,,,,
170,0.105,0.0274,0.054287370294332504,3.856113349997809e-05,,,,,,,,,,,,,,,,,
180,0.111,0.0259,0.056075192987918854,3.899029622000009e-05,,,,,,,,,,,,,,,,,
190,0.117,0.0269,0.05414484813809395,3.939624932795996e-05,,,,,,,,,,,,,,,,,
200,0.123,0.0272,0.05505402013659477,3.978137495093281e-05,,,,,,,,,,,,,,,,,
210,0.129,0.0256,0.06255825608968735,4.014770631246963e-05,,,,,,,,,,,,,,,,,
220,0.135,0.0275,0.06442615389823914,4.0496992709766115e-05,,,,,,,,,,,,,,,,,
230,0.142,0.0276,0.05315171927213669,4.08307500352946e-05,,,,,,,,,,,,,,,,,
240,0.148,0.0257,0.045904431492090225,4.1150300538186484e-05,,,,,,,,,,,,,,,,,
250,0.154,0.027,0.05280100554227829,4.145680446347196e-05,,,,,,,,,,,,,,,,,
260,0.16,0.0256,0.05651247128844261,4.1751285482227966e-05,,,,,,,,,,,,,,,,,
270,0.166,0.0258,0.06760669499635696,4.203465131979292e-05,,,,,,,,,,,,,,,,,
280,0.172,0.0252,0.06353981792926788,4.2307710630656025e-05,,,,,,,,,,,,,,,,,
290,0.179,0.0254,0.05378022417426109,4.257118691083302e-05,,,,,,,,,,,,,,,,,
300,0.185,0.0246,0.05594054237008095,4.282573005072564e-05,,,,,,,,,,,,,,,,,
310,0.191,0.0237,0.051345374435186386,4.307192599295662e-05,,,,,,,,,,,,,,,,,
320,0.197,0.0241,0.057999320328235626,4.331030485637288e-05,,,,,,,,,,,,,,,,,
330,0.203,0.0249,0.05639676749706268,4.3541347809558934e-05,,,,,,,,,,,,,,,,,
340,0.209,0.0261,0.053017400205135345,4.3765492917957304e-05,,,,,,,,,,,,,,,,,
350,0.216,0.026,0.0614030584692955,4.398314014319518e-05,,,,,,,,,,,,,,,,,
360,0.222,0.0241,0.06160581484436989,4.419465563797931e-05,,,,,,,,,,,,,,,,,
370,0.228,0.0251,0.054055459797382355,4.440037545241135e-05,,,,,,,,,,,,,,,,,
380,0.234,0.0247,0.05155645310878754,4.460060874593917e-05,,,,,,,,,,,,,,,,,
390,0.24,0.0263,0.051460038870573044,4.4795640582020785e-05,,,,,,,,,,,,,,,,,
400,0.246,0.0243,0.05780276656150818,4.4985734368912025e-05,,,,,,,,,,,,,,,,,
410,0.252,0.0244,0.06145118549466133,4.517113399902435e-05,,,,,,,,,,,,,,,,,
420,0.259,0.0242,0.038138389587402344,4.535206573044885e-05,,,,,,,,,,,,,,,,,
430,0.265,0.0236,0.04910694807767868,4.552873984705934e-05,,,,,,,,,,,,,,,,,
440,0.271,0.0257,0.052255742251873016,4.5701352127745326e-05,,,,,,,,,,,,,,,,,
450,0.277,0.0254,0.056103285402059555,4.587008515051846e-05,,,,,,,,,,,,,,,,,
460,0.283,0.023,0.06192803755402565,4.603510945327382e-05,,,,,,,,,,,,,,,,,
470,0.289,0.024,0.06369704008102417,4.6196584569707666e-05,,,,,,,,,,,,,,,,,
480,0.296,0.0249,0.06349693983793259,4.63546599561657e-05,,,,,,,,,,,,,,,,,
