step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.006,0.3551,8.860288619995117,1.7775165339494783e-05,,,,,,,,,,,,,,,,,
20,0.012,0.0815,2.043072462081909,2.312602328456944e-05,,,,,,,,,,,,,,,,,
30,0.018,0.0518,0.8212137818336487,2.6256074529123982e-05,,,,,,,,,,,,,,,,,
40,0.025,0.0386,0.41507387161254883,2.8476881229644103e-05,,,,,,,,,,,,,,,,,
50,0.031,0.0347,0.636561393737793,3.0199472733914897e-05,,,,,,,,,,,,,,,,,
60,0.037,0.0318,0.38390082120895386,3.160693247419864e-05,,,,,,,,,,,,,,,,,
70,0.043,0.0298,0.3095473647117615,3.279692272883117e-05,,,,,,,,,,,,,,,,,
80,0.049,0.0286,0.47553688287734985,3.382773917471876e-05,,,,,,,,,,,,,,,,,
90,0.055,0.0309,0.261559396982193,3.4736983718753185e-05,,,,,,,,,,,,,,,,,
100,0.062,0.0279,0.24650634825229645,3.5550330678989565e-05,,,,,,,,,,,,,,,,,
110,0.068,0.0286,0.6534676551818848,3.628609250152266e-05,,,,,,,,,,,,,,,,,
120,0.074,0.0273,0.4922184646129608,3.6957790419273306e-05,,,,,,,,,,,,,,,,,
130,0.08,0.0274,0.6076117157936096,3.757569260557988e-05,,,,,,,,,,,,,,,,,
140,0.086,0.0266,0.5819498896598816,3.814778067390583e-05,,,,,,,,,,,,,,,,,
150,0.092,0.0278,0.3840201199054718,3.8680381923544096e-05,,,,,,,,,,,,,,,,,
160,0.099,0.0264,0.5146406292915344,3.9178597119793427e-05,,,,,,,,,,,,,,,,,
170,0.105,0.0255,0.22059586644172668,3.964659835879661e-05,,,,,,,,,,,,,,,,,
180,0.111,0.0235,0.5658129453659058,4.0087841663827844e-05,,,,,,,,,,,,,,,,,
190,0.117,0.0254,0.31504395604133606,4.050522202490564e-05,,,,,,,,,,,,,,,,,
200,0.123,0.0248,0.2492409348487854,4.090118862406422e-05,,,,,,,,,,,,,,,,,
210,0.129,0.0248,0.3443230092525482,4.127783191846037e-05,,,,,,,,,,,,,,,,,
220,0.136,0.0251,0.4164176285266876,4.1636950446597326e-05,,,,,,,,,,,,,,,,,
230,0.142,0.0246,0.3547323942184448,4.198010277209993e-05,,,,,,,,,,,,,,,,,
240,0.148,0.0237,0.20556581020355225,4.230864836434797e-05,,,,,,,,,,,,,,,,,
250,0.154,0.0245,0.16788998246192932,4.2623780128335014e-05,,,,,,,,,,,,,,,,,
260,0.16,0.0236,0.34188970923423767,4.292655055065455e-05,,,,,,,,,,,,,,,,,
270,0.166,0.0242,0.21728165447711945,4.321789290838239e-05,,,,,,,,,,,,,,,,,
280,0.173,0.0236,0.2443082630634308,4.3498638618980495e-05,,,,,,,,,,,,,,,,,
290,0.179,0.0241,0.4129496216773987,4.376953154429486e-05,,,,,,,,,,,,,,,,,
300,0.185,0.0228,0.41632041335105896,4.403123986861876e-05,,,,,,,,,,,,,,,,,
310,0.191,0.0219,0.3141109049320221,4.428436602838797e-05,,,,,,,,,,,,,,,,,
320,0.197,0.0233,0.26835668087005615,4.4529455064868085e-05,,,,,,,,,,,,,,,,,
330,0.203,0.0229,0.22695229947566986,4.4767001691151864e-05,,,,,,,,,,,,,,,,,
340,0.209,0.0242,0.24947196245193481,4.499745630387128e-05,,,,,,,,,,,,,,,,,
350,0.216,0.0234,0.3734346330165863,4.5221230123251285e-05,,,,,,,,,,,,,,,,,
360,0.222,0.0227,0.5281444787979126,4.5438699608902516e-05,,,,,,,,,,,,,,,,,
370,0.228,0.0246,0.27875640988349915,4.565021027046638e-05,,,,,,,,,,,,,,,,,
