step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,0.006,0.215,2.163785696029663,1.7775165339494783e-05,,,,,,,,,,,
20,0.012,0.0653,1.4329833984375,2.312602328456944e-05,,,,,,,,,,,
30,0.018,0.0398,0.6513288617134094,2.6256074529123982e-05,,,,,,,,,,,
40,0.025,0.0314,0.5529488325119019,2.8476881229644103e-05,,,,,,,,,,,
50,0.031,0.0277,0.2025475949048996,3.0199472733914897e-05,,,,,,,,,,,
60,0.037,0.0263,0.36203306913375854,3.160693247419864e-05,,,,,,,,,,,
70,0.043,0.0256,0.15663392841815948,3.279692272883117e-05,,,,,,,,,,,
80,0.049,0.0247,0.19766676425933838,3.382773917471876e-05,,,,,,,,,,,
90,0.055,0.0315,0.2532961070537567,3.4736983718753185e-05,,,,,,,,,,,
100,0.062,0.0264,0.2405060976743698,3.5550330678989565e-05,,,,,,,,,,,
110,0.068,0.0257,0.27265751361846924,3.628609250152266e-05,,,,,,,,,,,
120,0.074,0.0232,0.36695006489753723,3.6957790419273306e-05,,,,,,,,,,,
130,0.08,0.0238,0.2803424894809723,3.757569260557988e-05,,,,,,,,,,,
140,0.086,0.0239,0.19183796644210815,3.814778067390583e-05,,,,,,,,,,,
150,0.092,0.0237,0.22288626432418823,3.8680381923544096e-05,,,,,,,,,,,
160,0.099,0.0223,0.28702598810195923,3.9178597119793427e-05,,,,,,,,,,,
170,0.105,0.0219,0.1845279484987259,3.964659835879661e-05,,,,,,,,,,,
180,0.111,0.0205,0.4397764503955841,4.0087841663827844e-05,,,,,,,,,,,
190,0.117,0.0224,0.18693295121192932,4.050522202490564e-05,,,,,,,,,,,
200,0.123,0.022,0.15632352232933044,4.090118862406422e-05,,,,,,,,,,,
210,0.129,0.0213,0.2662917375564575,4.127783191846037e-05,,,,,,,,,,,
220,0.136,0.0224,0.2231844812631607,4.1636950446597326e-05,,,,,,,,,,,
230,0.142,0.0211,0.22745281457901,4.198010277209993e-05,,,,,,,,,,,
240,0.148,0.0205,0.2137288898229599,4.230864836434797e-05,,,,,,,,,,,
250,0.154,0.0212,0.1575077474117279,4.2623780128335014e-05,,,,,,,,,,,
260,0.16,0.0204,0.1431950330734253,4.292655055065455e-05,,,,,,,,,,,
270,0.166,0.0213,0.13812842965126038,4.321789290838239e-05,,,,,,,,,,,
280,0.173,0.0207,0.16104143857955933,4.3498638618980495e-05,,,,,,,,,,,
290,0.179,0.0212,0.278444766998291,4.376953154429486e-05,,,,,,,,,,,
300,0.185,0.0205,0.25925788283348083,4.403123986861876e-05,,,,,,,,,,,
310,0.191,0.0196,0.1540660560131073,4.428436602838797e-05,,,,,,,,,,,
320,0.197,0.0204,0.16835543513298035,4.4529455064868085e-05,,,,,,,,,,,
330,0.203,0.0206,0.13507956266403198,4.4767001691151864e-05,,,,,,,,,,,
340,0.209,0.0215,0.20338186621665955,4.499745630387128e-05,,,,,,,,,,,
350,0.216,0.0205,0.21472421288490295,4.5221230123251285e-05,,,,,,,,,,,
360,0.222,0.02,0.34578073024749756,4.5438699608902516e-05,,,,,,,,,,,
370,0.228,0.0213,0.13786886632442474,4.565021027046638e-05,,,,,,,,,,,
380,0.234,0.0203,0.16361984610557556,4.58560799699803e-05,,,,,,,,,,,
390,0.24,0.0218,0.13269728422164917,4.605660179520909e-05,,,,,,,,,,,
400,0.246,0.0209,0.40782564878463745,4.625204656913888e-05,,,,,,,,,,,
410,0.253,0.0221,0.18378998339176178,4.6442665049556136e-05,,,,,,,,,,,
420,0.259,0.0214,0.18230709433555603,4.662868986353503e-05,,,,,,,,,,,
430,0.265,0.0209,0.12838342785835266,4.681033721427111e-05,,,,,,,,,,,
440,0.271,0.022,0.14780187606811523,4.6987808391671985e-05,,,,,,,,,,,
450,0.277,0.0208,0.16158530116081238,4.7161291113173306e-05,,,,,,,,,,,
460,0.283,0.0199,0.1476386934518814,4.7330960717174586e-05,,,,,,,,,,,
470,0.29,0.0198,0.1594291776418686,4.749698122811721e-05,,,,,,,,,,,
480,0.296,0.0206,0.21657608449459076,4.765950630942263e-05,,,,,,,,,,,
490,0.302,0.0207,0.1731407344341278,4.7818680118167556e-05,,,,,,,,,,,
500,0.308,0.0193,0.3776467442512512,4.797463807340967e-05,,,,,,,,,,,
510,0.314,0.0201,0.26322489976882935,4.812750754842581e-05,,,,,,,,,,,
520,0.32,0.0192,0.2110733836889267,4.827740849572921e-05,,,,,,,,,,,
530,0.327,0.0213,0.17976197600364685,4.842445401254994e-05,,,,,,,,,,,
540,0.333,0.0207,0.12854298949241638,4.856875085345706e-05,,,,,,,,,,,
550,0.339,0.0211,0.1448773890733719,4.8710399895942775e-05,,,,,,,,,,,
560,0.345,0.0189,0.23248054087162018,4.884949656405515e-05,,,,,,,,,,,
570,0.351,0.0207,0.3914586007595062,4.8986131214534845e-05,,,,,,,,,,,
580,0.357,0.0205,0.25267136096954346,4.9120389489369526e-05,,,,,,,,,,,
590,0.364,0.0219,0.19897404313087463,4.925235263821082e-05,,,,,,,,,,,
600,0.37,0.0209,0.14242678880691528,4.938209781369342e-05,,,,,,,,,,,
610,0.376,0.0205,0.13723866641521454,4.95096983423441e-05,,,,,,,,,,,
620,0.382,0.0205,0.18463337421417236,4.963522397346263e-05,,,,,,,,,,,
630,0.388,0.0204,0.29523295164108276,4.975874110808958e-05,,,,,,,,,,,
640,0.394,0.0209,0.21429963409900665,4.988031300994275e-05,,,,,,,,,,,
650,0.4,0.0206,0.2935105860233307,5e-05,,,,,,,,,,,
660,0.407,0.0193,0.16612692177295685,4.9971116816431324e-05,,,,,,,,,,,
670,0.413,0.0215,0.143160879611969,4.9939024390243905e-05,,,,,,,,,,,
680,0.419,0.0207,0.15520648658275604,4.9906931964056485e-05,,,,,,,,,,,
690,0.425,0.0198,0.2460494041442871,4.9874839537869065e-05,,,,,,,,,,,
700,0.431,0.019,0.1672723889350891,4.9842747111681645e-05,,,,,,,,,,,
710,0.437,0.0196,0.1330767720937729,4.9810654685494225e-05,,,,,,,,,,,
720,0.444,0.0207,0.16513267159461975,4.9778562259306805e-05,,,,,,,,,,,
730,0.45,0.0212,0.14810167253017426,4.9746469833119385e-05,,,,,,,,,,,
740,0.456,0.0188,0.22226843237876892,4.9714377406931965e-05,,,,,,,,,,,
750,0.462,0.0194,0.15993846952915192,4.9682284980744545e-05,,,,,,,,,,,
760,0.468,0.0195,0.14030295610427856,4.965019255455713e-05,,,,,,,,,,,
770,0.474,0.0193,0.1137331873178482,4.9618100128369705e-05,,,,,,,,,,,
