step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
10,0.004,0.7145,1.7100062370300293,1.639973320288706e-05,,,,,,,,,,,,,,,,,
20,0.009,0.3302,0.6068605184555054,2.1336544817842598e-05,,,,,,,,,,,,,,,,,
30,0.013,0.1799,0.28651362657546997,2.422439448571624e-05,,,,,,,,,,,,,,,,,
40,0.017,0.1201,0.2088918387889862,2.6273356432798137e-05,,,,,,,,,,,,,,,,,
50,0.021,0.0955,0.1841728687286377,2.7862654790818577e-05,,,,,,,,,,,,,,,,,
60,0.026,0.0795,0.11689251661300659,2.9161206100671778e-05,,,,,,,,,,,,,,,,,
70,0.03,0.0685,0.1226653903722763,3.0259115589403642e-05,,,,,,,,,,,,,,,,,
80,0.034,0.0664,0.12726552784442902,3.121016804775367e-05,,,,,,,,,,,,,,,,,
90,0.039,0.0559,0.1021551862359047,3.204905576854542e-05,,,,,,,,,,,,,,,,,
100,0.043,0.0552,0.09383897483348846,3.279946640577412e-05,,,,,,,,,,,,,,,,,
110,0.047,0.0495,0.085884228348732,3.3478295398920115e-05,,,,,,,,,,,,,,,,,
120,0.052,0.0526,0.1024431362748146,3.4098017715627316e-05,,,,,,,,,,,,,,,,,
130,0.056,0.0479,0.09410009533166885,3.46681069838488e-05,,,,,,,,,,,,,,,,,
140,0.06,0.0463,0.09724877029657364,3.519592720435918e-05,,,,,,,,,,,,,,,,,
150,0.064,0.0438,0.09330260008573532,3.5687316073647756e-05,,,,,,,,,,,,,,,,,
160,0.069,0.0439,0.08625280112028122,3.6146979662709214e-05,,,,,,,,,,,,,,,,,
170,0.073,0.0398,0.0821954756975174,3.657876723327091e-05,,,,,,,,,,,,,,,,,
180,0.077,0.0438,0.07436671853065491,3.698586738350096e-05,,,,,,,,,,,,,,,,,
190,0.082,0.0403,0.10708684474229813,3.7370951090744555e-05,,,,,,,,,,,,,,,,,
200,0.086,0.0391,0.09040474146604538,3.7736278020729654e-05,,,,,,,,,,,,,,,,,
210,0.09,0.038,0.07560586929321289,3.8083776872232825e-05,,,,,,,,,,,,,,,,,
220,0.094,0.0381,0.06858710199594498,3.841510701387565e-05,,,,,,,,,,,,,,,,,
230,0.099,0.0351,0.08144015818834305,3.873170640852032e-05,,,,,,,,,,,,,,,,,
240,0.103,0.0343,0.08220889419317245,3.903482933058286e-05,,,,,,,,,,,,,,,,,
250,0.107,0.0362,0.07080414146184921,3.932557637875009e-05,,,,,,,,,,,,,,,,,
260,0.112,0.0338,0.07640546560287476,3.960491859880434e-05,,,,,,,,,,,,,,,,,
270,0.116,0.0367,0.07323756814002991,3.9873717051374605e-05,,,,,,,,,,,,,,,,,
280,0.12,0.0351,0.06609468907117844,4.013273881931472e-05,,,,,,,,,,,,,,,,,
290,0.124,0.0317,0.06437185406684875,4.0382670204866126e-05,,,,,,,,,,,,,,,,,
300,0.129,0.0322,0.06310688704252243,4.06241276886033e-05,,,,,,,,,,,,,,,,,
310,0.133,0.0328,0.06418564170598984,4.0857667090774864e-05,,,,,,,,,,,,,,,,,
320,0.137,0.0309,0.06817001104354858,4.108379127766475e-05,,,,,,,,,,,,,,,,,
330,0.142,0.0307,0.0641375333070755,4.130295668174929e-05,,,,,,,,,,,,,,,,,
340,0.146,0.031,0.07061635702848434,4.151557884822644e-05,,,,,,,,,,,,,,,,,
350,0.15,0.0303,0.07356522232294083,4.1722037177335156e-05,,,,,,,,,,,,,,,,,
360,0.155,0.0288,0.06587538123130798,4.1922678998456496e-05,,,,,,,,,,,,,,,,,
370,0.159,0.0307,0.05851060152053833,4.211782308589328e-05,,,,,,,,,,,,,,,,,
380,0.163,0.0268,0.08131757378578186,4.230776270570009e-05,,,,,,,,,,,,,,,,,
390,0.167,0.0267,0.05575886741280556,4.249276826667798e-05,,,,,,,,,,,,,,,,,
