step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,0.002,1.2066,5.278763771057129,1.518307070961442e-05,,,,,,,,,,,
20,0.005,0.6935,1.5845093727111816,1.9753630419495566e-05,,,,,,,,,,,
30,0.007,0.4111,0.7921616435050964,2.2427236457083006e-05,,,,,,,,,,,
40,0.01,0.259,0.4834672212600708,2.4324190129376713e-05,,,,,,,,,,,
50,0.012,0.167,0.3078858554363251,2.579558170934769e-05,,,,,,,,,,,
60,0.015,0.1269,0.27336323261260986,2.699779616696415e-05,,,,,,,,,,,
70,0.017,0.1092,0.22159723937511444,2.8014254007707435e-05,,,,,,,,,,,
80,0.02,0.0908,0.18692700564861298,2.8894749839257863e-05,,,,,,,,,,,
90,0.022,0.083,0.21074175834655762,2.967140220455159e-05,,,,,,,,,,,
100,0.024,0.0774,0.16724048554897308,3.036614141922884e-05,,,,,,,,,,,
110,0.027,0.0759,0.1609763354063034,3.099460948484697e-05,,,,,,,,,,,
120,0.029,0.0723,0.14747294783592224,3.15683558768453e-05,,,,,,,,,,,
130,0.032,0.0641,0.17045480012893677,3.209615139419405e-05,,,,,,,,,,,
140,0.034,0.0612,0.14192260801792145,3.258481371758858e-05,,,,,,,,,,,
150,0.037,0.0618,0.151225283741951,3.303974745681627e-05,,,,,,,,,,,
160,0.039,0.0578,0.10643988847732544,3.3465309549139006e-05,,,,,,,,,,,
170,0.042,0.0551,0.12606601417064667,3.3865063687469546e-05,,,,,,,,,,,
180,0.044,0.0516,0.10926442593336105,3.424196191443274e-05,,,,,,,,,,,
190,0.046,0.0508,0.1402672678232193,3.459847705305528e-05,,,,,,,,,,,
200,0.049,0.0495,0.13280551135540009,3.493670112910998e-05,,,,,,,,,,,
210,0.051,0.0439,0.15174098312854767,3.525841975517602e-05,,,,,,,,,,,
220,0.054,0.0477,0.13194075226783752,3.556516919472813e-05,,,,,,,,,,,
230,0.056,0.0468,0.14257217943668365,3.585828073111976e-05,,,,,,,,,,,
240,0.059,0.0453,0.10755161195993423,3.613891558672645e-05,,,,,,,,,,,
250,0.061,0.044,0.10889814794063568,3.640809270908095e-05,,,,,,,,,,,
260,0.064,0.0409,0.09738850593566895,3.66667111040752e-05,,,,,,,,,,,
270,0.066,0.0418,0.09064444154500961,3.691556795202018e-05,,,,,,,,,,,
280,0.068,0.0413,0.10513267666101456,3.715537342746973e-05,,,,,,,,,,,
290,0.071,0.041,0.09154698997735977,3.7386762917312825e-05,,,,,,,,,,,
300,0.073,0.0395,0.10106874257326126,3.761030716669742e-05,,,,,,,,,,,
310,0.076,0.0389,0.10955173522233963,3.782652076071051e-05,,,,,,,,,,,
320,0.078,0.0378,0.09989593178033829,3.8035869259020156e-05,,,,,,,,,,,
330,0.081,0.035,0.09922117739915848,3.823877523231556e-05,,,,,,,,,,,
340,0.083,0.0404,0.08692421764135361,3.8435623397350696e-05,,,,,,,,,,,
350,0.086,0.0377,0.08825596421957016,3.86267650074407e-05,,,,,,,,,,,
360,0.088,0.037,0.07471556961536407,3.881252162431389e-05,,,,,,,,,,,
370,0.09,0.0373,0.10191687196493149,3.899318837306284e-05,,,,,,,,,,,
380,0.093,0.0359,0.11672838777303696,3.916903676293643e-05,,,,,,,,,,,
390,0.095,0.0368,0.08382829278707504,3.9340317141662635e-05,,,,,,,,,,,
400,0.098,0.033,0.08761376887559891,3.950726083899113e-05,,,,,,,,,,,
410,0.1,0.0348,0.0892297700047493,3.967008204551481e-05,,,,,,,,,,,
420,0.103,0.038,0.08588571846485138,3.982897946505717e-05,,,,,,,,,,,
430,0.105,0.035,0.08898480236530304,3.9984137772603935e-05,,,,,,,,,,,
440,0.108,0.0351,0.09405474364757538,4.013572890460927e-05,,,,,,,,,,,
450,0.11,0.0331,0.08105399459600449,4.028391320428486e-05,,,,,,,,,,,
460,0.112,0.0346,0.07088027894496918,4.042884044100091e-05,,,,,,,,,,,
470,0.115,0.035,0.09492474049329758,4.057065072004722e-05,,,,,,,,,,,
480,0.117,0.0335,0.07645013928413391,4.07094752966076e-05,,,,,,,,,,,
490,0.12,0.0358,0.13305900990962982,4.084543730580045e-05,,,,,,,,,,,
500,0.122,0.0318,0.07060711085796356,4.09786524189621e-05,,,,,,,,,,,
510,0.125,0.0326,0.0954083576798439,4.110922943493813e-05,,,,,,,,,,,
520,0.127,0.0318,0.06448109447956085,4.123727081395634e-05,,,,,,,,,,,
530,0.13,0.0284,0.057059645652770996,4.136287316064509e-05,,,,,,,,,,,
540,0.132,0.0313,0.08117479830980301,4.148612766190133e-05,,,,,,,,,,,
550,0.134,0.0324,0.07998642325401306,4.160712048458024e-05,,,,,,,,,,,
560,0.137,0.0313,0.0977630764245987,4.1725933137350875e-05,,,,,,,,,,,
570,0.139,0.0299,0.08560454100370407,4.1842642800523865e-05,,,,,,,,,,,
580,0.142,0.0302,0.07128596305847168,4.1957322627193975e-05,,,,,,,,,,,
590,0.144,0.0324,0.06337690353393555,4.207004201864003e-05,,,,,,,,,,,
600,0.147,0.0324,0.07240144908428192,4.2180866876578576e-05,,,,,,,,,,,
610,0.149,0.0328,0.0734664797782898,4.228985983456714e-05,,,,,,,,,,,
620,0.152,0.0273,0.06231450289487839,4.239708047059166e-05,,,,,,,,,,,
630,0.154,0.0291,0.08615975826978683,4.250258550264461e-05,,,,,,,,,,,
640,0.156,0.0285,0.06931741535663605,4.2606428968901306e-05,,,,,,,,,,,
650,0.159,0.029,0.054482296109199524,4.270866239392732e-05,,,,,,,,,,,
660,0.161,0.0277,0.07044526934623718,4.280933494219671e-05,,,,,,,,,,,
670,0.164,0.0279,0.061770249158144,4.290849356006627e-05,,,,,,,,,,,
680,0.166,0.0266,0.08771301805973053,4.300618310723184e-05,,,,,,,,,,,
690,0.169,0.0283,0.07053256034851074,4.310244647858834e-05,,,,,,,,,,,
700,0.171,0.0296,0.07300758361816406,4.319732471732185e-05,,,,,,,,,,,
710,0.174,0.0278,0.06867387145757675,4.329085711998017e-05,,,,,,,,,,,
720,0.176,0.0303,0.07500313222408295,4.3383081334195036e-05,,,,,,,,,,,
730,0.178,0.0283,0.07114699482917786,4.3474033449664273e-05,,,,,,,,,,,
740,0.181,0.0297,0.06966980546712875,4.356374808294399e-05,,,,,,,,,,,
750,0.183,0.0293,0.08007025718688965,4.3652258456549546e-05,,,,,,,,,,,
760,0.186,0.0278,0.08448746800422668,4.373959647281758e-05,,,,,,,,,,,
770,0.188,0.0285,0.09017974138259888,4.382579278293999e-05,,,,,,,,,,,
780,0.191,0.0276,0.05136788636445999,4.391087685154378e-05,,,,,,,,,,,
790,0.193,0.0294,0.0882609412074089,4.3994877017157125e-05,,,,,,,,,,,
800,0.196,0.0278,0.051427748054265976,4.4077820548872276e-05,,,,,,,,,,,
810,0.198,0.0281,0.07279732078313828,4.4159733699488766e-05,,,,,,,,,,,
820,0.2,0.0265,0.0559207946062088,4.424064175539596e-05,,,,,,,,,,,
830,0.203,0.0273,0.07705451548099518,4.43205690834323e-05,,,,,,,,,,,
840,0.205,0.0254,0.056666482239961624,4.439953917493832e-05,,,,,,,,,,,
850,0.208,0.0284,0.0692482516169548,4.4477574687202815e-05,,,,,,,,,,,
860,0.21,0.0245,0.05839133635163307,4.4554697482485085e-05,,,,,,,,,,,
870,0.213,0.0285,0.08079136908054352,4.463092866478141e-05,,,,,,,,,,,
880,0.215,0.0262,0.07016853988170624,4.4706288614490416e-05,,,,,,,,,,,
890,0.218,0.0272,0.06603033095598221,4.4780797021119853e-05,,,,,,,,,,,
900,0.22,0.0243,0.05925687775015831,4.485447291416601e-05,,,,,,,,,,,
910,0.222,0.0264,0.06885133683681488,4.492733469228707e-05,,,,,,,,,,,
920,0.225,0.025,0.0679364874958992,4.499940015088206e-05,,,,,,,,,,,
930,0.227,0.0259,0.08950593322515488,4.5070686508179094e-05,,,,,,,,,,,
940,0.23,0.024,0.05191758647561073,4.514121042992837e-05,,,,,,,,,,,
950,0.232,0.0241,0.07182062417268753,4.521098805278855e-05,,,,,,,,,,,
960,0.235,0.0252,0.0779736340045929,4.528003500648875e-05,,,,,,,,,,,
