step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,0.002,0.668,1.7177133560180664,1.518307070961442e-05,,,,,,,,,,,
20,0.005,0.2988,0.5655580759048462,1.9753630419495566e-05,,,,,,,,,,,
30,0.007,0.161,0.3046398162841797,2.2427236457083006e-05,,,,,,,,,,,
40,0.01,0.1066,0.24606798589229584,2.4324190129376713e-05,,,,,,,,,,,
50,0.012,0.0751,0.17249111831188202,2.579558170934769e-05,,,,,,,,,,,
60,0.015,0.0645,0.14829982817173004,2.699779616696415e-05,,,,,,,,,,,
70,0.017,0.0599,0.11197786778211594,2.8014254007707435e-05,,,,,,,,,,,
80,0.02,0.052,0.1348964273929596,2.8894749839257863e-05,,,,,,,,,,,
90,0.022,0.0473,0.12403811514377594,2.967140220455159e-05,,,,,,,,,,,
100,0.024,0.0455,0.08555163443088531,3.036614141922884e-05,,,,,,,,,,,
110,0.027,0.0443,0.09529020637273788,3.099460948484697e-05,,,,,,,,,,,
120,0.029,0.0428,0.09991899877786636,3.15683558768453e-05,,,,,,,,,,,
130,0.032,0.0391,0.08421164005994797,3.209615139419405e-05,,,,,,,,,,,
140,0.034,0.0372,0.13580988347530365,3.258481371758858e-05,,,,,,,,,,,
150,0.037,0.0368,0.0940604954957962,3.303974745681627e-05,,,,,,,,,,,
160,0.039,0.0346,0.10035969316959381,3.3465309549139006e-05,,,,,,,,,,,
170,0.042,0.0333,0.0810280367732048,3.3865063687469546e-05,,,,,,,,,,,
180,0.044,0.032,0.08116833865642548,3.424196191443274e-05,,,,,,,,,,,
190,0.046,0.0315,0.08535796403884888,3.459847705305528e-05,,,,,,,,,,,
200,0.049,0.0316,0.0825289711356163,3.493670112910998e-05,,,,,,,,,,,
210,0.051,0.0273,0.07093293219804764,3.525841975517602e-05,,,,,,,,,,,
220,0.054,0.0294,0.09172046184539795,3.556516919472813e-05,,,,,,,,,,,
230,0.056,0.0294,0.09075452387332916,3.585828073111976e-05,,,,,,,,,,,
240,0.059,0.0278,0.07105796784162521,3.613891558672645e-05,,,,,,,,,,,
250,0.061,0.0276,0.0632033422589302,3.640809270908095e-05,,,,,,,,,,,
260,0.064,0.0261,0.0666704848408699,3.66667111040752e-05,,,,,,,,,,,
270,0.066,0.0268,0.059717703610658646,3.691556795202018e-05,,,,,,,,,,,
280,0.068,0.0266,0.06190185993909836,3.715537342746973e-05,,,,,,,,,,,
290,0.071,0.026,0.06281221657991409,3.7386762917312825e-05,,,,,,,,,,,
300,0.073,0.0251,0.05576779693365097,3.761030716669742e-05,,,,,,,,,,,
310,0.076,0.024,0.06724577397108078,3.782652076071051e-05,,,,,,,,,,,
320,0.078,0.0241,0.06968092173337936,3.8035869259020156e-05,,,,,,,,,,,
330,0.081,0.0221,0.0561332143843174,3.823877523231556e-05,,,,,,,,,,,
340,0.083,0.0258,0.06562582403421402,3.8435623397350696e-05,,,,,,,,,,,
350,0.086,0.0229,0.059279393404722214,3.86267650074407e-05,,,,,,,,,,,
360,0.088,0.022,0.04424842447042465,3.881252162431389e-05,,,,,,,,,,,
370,0.09,0.0226,0.057707447558641434,3.899318837306284e-05,,,,,,,,,,,
380,0.093,0.0225,0.06741920113563538,3.916903676293643e-05,,,,,,,,,,,
390,0.095,0.0229,0.07063402980566025,3.9340317141662635e-05,,,,,,,,,,,
400,0.098,0.0207,0.051673319190740585,3.950726083899113e-05,,,,,,,,,,,
410,0.1,0.0218,0.06379438936710358,3.967008204551481e-05,,,,,,,,,,,
420,0.103,0.0238,0.05986955761909485,3.982897946505717e-05,,,,,,,,,,,
430,0.105,0.0214,0.05426767095923424,3.9984137772603935e-05,,,,,,,,,,,
440,0.108,0.0219,0.05670982599258423,4.013572890460927e-05,,,,,,,,,,,
450,0.11,0.0206,0.046499427407979965,4.028391320428486e-05,,,,,,,,,,,
460,0.112,0.0214,0.03863026574254036,4.042884044100091e-05,,,,,,,,,,,
470,0.115,0.0219,0.04160314425826073,4.057065072004722e-05,,,,,,,,,,,
480,0.117,0.0208,0.0949362963438034,4.07094752966076e-05,,,,,,,,,,,
490,0.12,0.0221,0.059097595512866974,4.084543730580045e-05,,,,,,,,,,,
500,0.122,0.0199,0.057816650718450546,4.09786524189621e-05,,,,,,,,,,,
510,0.125,0.0207,0.06238600239157677,4.110922943493813e-05,,,,,,,,,,,
520,0.127,0.0194,0.04540359973907471,4.123727081395634e-05,,,,,,,,,,,
530,0.13,0.018,0.05214488506317139,4.136287316064509e-05,,,,,,,,,,,
540,0.132,0.0195,0.046489469707012177,4.148612766190133e-05,,,,,,,,,,,
550,0.134,0.0201,0.0633154809474945,4.160712048458024e-05,,,,,,,,,,,
560,0.137,0.0191,0.05898977816104889,4.1725933137350875e-05,,,,,,,,,,,
570,0.139,0.0183,0.05576591193675995,4.1842642800523865e-05,,,,,,,,,,,
580,0.142,0.0186,0.03378758952021599,4.1957322627193975e-05,,,,,,,,,,,
590,0.144,0.0199,0.040226422250270844,4.207004201864003e-05,,,,,,,,,,,
600,0.147,0.0201,0.046100154519081116,4.2180866876578576e-05,,,,,,,,,,,
610,0.149,0.0207,0.062711700797081,4.228985983456714e-05,,,,,,,,,,,
620,0.152,0.017,0.0493529736995697,4.239708047059166e-05,,,,,,,,,,,
630,0.154,0.0175,0.0809675008058548,4.250258550264461e-05,,,,,,,,,,,
640,0.156,0.0175,0.056313540786504745,4.2606428968901306e-05,,,,,,,,,,,
650,0.159,0.0177,0.04091307520866394,4.270866239392732e-05,,,,,,,,,,,
660,0.161,0.0168,0.058424487709999084,4.280933494219671e-05,,,,,,,,,,,
670,0.164,0.0174,0.04608607292175293,4.290849356006627e-05,,,,,,,,,,,
680,0.166,0.0164,0.05269256606698036,4.300618310723184e-05,,,,,,,,,,,
690,0.169,0.0181,0.05053147301077843,4.310244647858834e-05,,,,,,,,,,,
700,0.171,0.0184,0.05320863425731659,4.319732471732185e-05,,,,,,,,,,,
710,0.174,0.0173,0.044115956872701645,4.329085711998017e-05,,,,,,,,,,,
720,0.176,0.0192,0.05168430507183075,4.3383081334195036e-05,,,,,,,,,,,
730,0.178,0.0172,0.0537419430911541,4.3474033449664273e-05,,,,,,,,,,,
740,0.181,0.018,0.04697340726852417,4.356374808294399e-05,,,,,,,,,,,
750,0.183,0.0181,0.045196473598480225,4.3652258456549546e-05,,,,,,,,,,,
760,0.186,0.0173,0.060376886278390884,4.373959647281758e-05,,,,,,,,,,,
770,0.188,0.018,0.055136993527412415,4.382579278293999e-05,,,,,,,,,,,
780,0.191,0.0172,0.037148717790842056,4.391087685154378e-05,,,,,,,,,,,
790,0.193,0.0183,0.07371937483549118,4.3994877017157125e-05,,,,,,,,,,,
800,0.196,0.0173,0.05500248819589615,4.4077820548872276e-05,,,,,,,,,,,
810,0.198,0.0173,0.04320717230439186,4.4159733699488766e-05,,,,,,,,,,,
820,0.2,0.016,0.03351534530520439,4.424064175539596e-05,,,,,,,,,,,
830,0.203,0.0168,0.03954978659749031,4.43205690834323e-05,,,,,,,,,,,
840,0.205,0.0164,0.03285219520330429,4.439953917493832e-05,,,,,,,,,,,
850,0.208,0.0177,0.044791679829359055,4.4477574687202815e-05,,,,,,,,,,,
860,0.21,0.0153,0.04550644010305405,4.4554697482485085e-05,,,,,,,,,,,
870,0.213,0.018,0.052314333617687225,4.463092866478141e-05,,,,,,,,,,,
880,0.215,0.0161,0.03798668086528778,4.4706288614490416e-05,,,,,,,,,,,
890,0.218,0.0166,0.04424535483121872,4.4780797021119853e-05,,,,,,,,,,,
900,0.22,0.0154,0.04317579045891762,4.485447291416601e-05,,,,,,,,,,,
910,0.222,0.0167,0.040898293256759644,4.492733469228707e-05,,,,,,,,,,,
920,0.225,0.0155,0.05024249479174614,4.499940015088206e-05,,,,,,,,,,,
930,0.227,0.0157,0.05365810543298721,4.5070686508179094e-05,,,,,,,,,,,
940,0.23,0.0151,0.03433561697602272,4.514121042992837e-05,,,,,,,,,,,
950,0.232,0.0151,0.03200436756014824,4.521098805278855e-05,,,,,,,,,,,
960,0.235,0.0155,0.03662369027733803,4.528003500648875e-05,,,,,,,,,,,
970,0.237,0.0163,0.0492803193628788,4.5348366434842085e-05,,,,,,,,,,,
980,0.24,0.015,0.03143663331866264,4.54159970156816e-05,,,,,,,,,,,
990,0.242,0.0162,0.03830752894282341,4.548294097978415e-05,,,,,,,,,,,
1000,0.244,0.0155,0.03322117403149605,4.554921212884325e-05,,,,,,,,,,,
1010,0.247,0.0157,0.0373217910528183,4.561482385254779e-05,,,,,,,,,,,
1020,0.249,0.0156,0.044788558036088943,4.567978914481928e-05,,,,,,,,,,,
1030,0.252,0.0154,0.06003908812999725,4.5744120619257097e-05,,,,,,,,,,,
1040,0.254,0.0153,0.05151251330971718,4.580783052383749e-05,,,,,,,,,,,
1050,0.257,0.0148,0.035642605274915695,4.587093075490929e-05,,,,,,,,,,,
1060,0.259,0.014,0.044160984456539154,4.593343287052624e-05,,,,,,,,,,,
1070,0.262,0.0152,0.044732674956321716,4.599534810315339e-05,,,,,,,,,,,
1080,0.264,0.0179,0.07561951130628586,4.605668737178248e-05,,,,,,,,,,,
1090,0.267,0.0147,0.04059358686208725,4.611746129348898e-05,,,,,,,,,,,
1100,0.269,0.0149,0.04326809197664261,4.617768019446139e-05,,,,,,,,,,,
1110,0.271,0.0147,0.053078558295965195,4.6237354120531426e-05,,,,,,,,,,,
1120,0.274,0.0148,0.03244290500879288,4.6296492847232025e-05,,,,,,,,,,,
1130,0.276,0.016,0.04633871465921402,4.6355105889408284e-05,,,,,,,,,,,
1140,0.279,0.0155,0.06693792343139648,4.6413202510405015e-05,,,,,,,,,,,
1150,0.281,0.0163,0.04973668232560158,4.647079173085303e-05,,,,,,,,,,,
1160,0.284,0.015,0.03987525776028633,4.6527882337075124e-05,,,,,,,,,,,
1170,0.286,0.0149,0.040686070919036865,4.658448288913123e-05,,,,,,,,,,,
1180,0.289,0.0141,0.03675706684589386,4.664060172852118e-05,,,,,,,,,,,
1190,0.291,0.0142,0.04060625284910202,4.669624698556256e-05,,,,,,,,,,,
1200,0.293,0.0143,0.03538374975323677,4.675142658645972e-05,,,,,,,,,,,
1210,0.296,0.0132,0.03032819926738739,4.680614826007953e-05,,,,,,,,,,,
1220,0.298,0.0147,0.04435935989022255,4.6860419544448284e-05,,,,,,,,,,,
1230,0.301,0.0131,0.02516959235072136,4.6914247792983396e-05,,,,,,,,,,,
1240,0.303,0.0148,0.03267500922083855,4.696764018047281e-05,,,,,,,,,,,
1250,0.306,0.015,0.04818825423717499,4.702060370881422e-05,,,,,,,,,,,
1260,0.308,0.0137,0.039647482335567474,4.707314521252576e-05,,,,,,,,,,,
1270,0.311,0.0134,0.03804583474993706,4.712527136403863e-05,,,,,,,,,,,
1280,0.313,0.0137,0.03786297142505646,4.7176988678782456e-05,,,,,,,,,,,
1290,0.315,0.0136,0.042702920734882355,4.722830352007253e-05,,,,,,,,,,,
1300,0.318,0.0142,0.03333481028676033,4.727922210380846e-05,,,,,,,,,,,
1310,0.32,0.0141,0.03951816260814667,4.732975050299282e-05,,,,,,,,,,,
1320,0.323,0.0138,0.025475138798356056,4.737989465207785e-05,,,,,,,,,,,
1330,0.325,0.0146,0.03466177359223366,4.74296603511483e-05,,,,,,,,,,,
1340,0.328,0.0129,0.03327282518148422,4.747905326994741e-05,,,,,,,,,,,
1350,0.33,0.0138,0.047967713326215744,4.752807895175345e-05,,,,,,,,,,,
1360,0.333,0.0141,0.060722388327121735,4.757674281711298e-05,,,,,,,,,,,
1370,0.335,0.0141,0.03350921347737312,4.7625050167437565e-05,,,,,,,,,,,
1380,0.337,0.0138,0.038189757615327835,4.767300618846949e-05,,,,,,,,,,,
1390,0.34,0.0129,0.03821982815861702,4.772061595362256e-05,,,,,,,,,,,
1400,0.342,0.0136,0.04281307011842728,4.7767884427203e-05,,,,,,,,,,,
1410,0.345,0.0132,0.0292066503316164,4.781481646751581e-05,,,,,,,,,,,
1420,0.347,0.0142,0.03311283886432648,4.786141682986132e-05,,,,,,,,,,,
1430,0.35,0.0128,0.05126941576600075,4.79076901694266e-05,,,,,,,,,,,
1440,0.352,0.0132,0.029911993071436882,4.7953641044076186e-05,,,,,,,,,,,
1450,0.355,0.0142,0.036578141152858734,4.7999273917046095e-05,,,,,,,,,,,
1460,0.357,0.0134,0.035763829946517944,4.804459315954542e-05,,,,,,,,,,,
1470,0.359,0.0137,0.03718656674027443,4.808960305326904e-05,,,,,,,,,,,
1480,0.362,0.0137,0.03304972127079964,4.813430779282514e-05,,,,,,,,,,,
1490,0.364,0.014,0.0404210090637207,4.8178711488081076e-05,,,,,,,,,,,
1500,0.367,0.0136,0.03172066807746887,4.8222818166430696e-05,,,,,,,,,,,
1510,0.369,0.0134,0.04588552191853523,4.826663177498638e-05,,,,,,,,,,,
1520,0.372,0.0148,0.032284487038850784,4.831015618269873e-05,,,,,,,,,,,
1530,0.374,0.013,0.048603132367134094,4.835339518240672e-05,,,,,,,,,,,
1540,0.377,0.0135,0.04047255218029022,4.839635249282114e-05,,,,,,,,,,,
1550,0.379,0.0134,0.050638433545827866,4.8439031760443784e-05,,,,,,,,,,,
1560,0.381,0.0137,0.03709110617637634,4.848143656142493e-05,,,,,,,,,,,
1570,0.384,0.0133,0.03676500916481018,4.852357040336154e-05,,,,,,,,,,,
1580,0.386,0.0141,0.032193198800086975,4.8565436727038275e-05,,,,,,,,,,,
1590,0.389,0.0146,0.044312622398138046,4.860703890811368e-05,,,,,,,,,,,
1600,0.391,0.0151,0.04000691697001457,4.8648380258753426e-05,,,,,,,,,,,
1610,0.394,0.0129,0.03227235749363899,4.868946402921278e-05,,,,,,,,,,,
1620,0.396,0.0139,0.03383771330118179,4.8730293409369916e-05,,,,,,,,,,,
