model,epoch,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,loss,train_loss,grad_norm,eval_runtime,train_runtime
roberta-base,1.0,0.98940851212959,0.9367849686847598,0.9297198740261893,0.94395826321104,0.04494820535182953,0.1576,,1.5161588191986084,4.3832,
roberta-base,2.0,0.9906156302324676,0.9491582491582492,0.9494779386998989,0.9488387748232918,0.04821411147713661,0.0373,,5.205967426300049,3.8629,
roberta-base,3.0,0.9922316109185779,0.9543624161073825,0.9514887922382067,0.9572534500168294,0.03532130643725395,0.0253,,2.5960700511932373,4.3576,
roberta-base,4.0,0.9924847163272458,0.9560264678783819,0.951642487910622,0.9604510265903736,0.041515447199344635,0.0167,,1.8053947687149048,4.4043,
roberta-base,5.0,0.9925820645613489,0.9571919242690793,0.9529608006672227,0.9614607876135981,0.040817439556121826,0.0125,,3.2191295623779297,3.8517,
roberta-base,6.0,0.9918811572758071,0.9534747254589656,0.9498914314347754,0.9570851565129586,0.04685692489147186,0.0092,,0.999099850654602,4.4089,
roberta-base,7.0,0.9921732019781161,0.9571404654277582,0.9521985343104596,0.9621339616290812,0.045960504561662674,0.0075,,0.04407283663749695,4.3537,
roberta-base,8.0,0.9918227483353452,0.9541345831938399,0.949050949050949,0.9592729720632783,0.050163283944129944,0.0059,,0.20152337849140167,3.8759,
roberta-base,9.0,0.9926988824422724,0.9579944663368827,0.9545530492898914,0.9614607876135981,0.05063226819038391,0.0054,,0.7674703598022461,4.0613,
roberta-base,10.0,0.9931466843191464,0.961961541691158,0.9599463717110776,0.9639851901716594,0.05164236202836037,0.0043,0.02817210958324424,0.5313055515289307,3.8565,525.9341
roberta-large,1.0,0.9914722946925743,0.9500797046732109,0.94729797557303,0.9528778189161898,0.037449657917022705,0.1348,,0.9811950325965881,6.6269,
roberta-large,2.0,0.9926988824422724,0.9587732528908999,0.9547730307076101,0.9628071356445641,0.038926370441913605,0.0338,,5.364288806915283,6.6771,
roberta-large,3.0,0.992971457497761,0.9593359604259244,0.9558897243107769,0.9628071356445641,0.03878845274448395,0.0211,,2.168818712234497,6.6033,
roberta-large,4.0,0.9920758537440131,0.955278776226699,0.9490117920611194,0.9616290811174689,0.04261266067624092,0.0145,,3.5901095867156982,6.0955,
roberta-large,5.0,0.9924457770336046,0.9596171606078415,0.9574468085106383,0.9617973746213396,0.04526456072926521,0.0119,,4.59634256362915,6.5985,
roberta-large,6.0,0.9937697130174059,0.9657138066895801,0.9620845164523133,0.9693705822955234,0.03685368597507477,0.0083,,3.5921432971954346,6.6123,
roberta-large,7.0,0.9932050932596083,0.9634361603765655,0.9623845507976491,0.9644900706832716,0.04359479248523712,0.0066,,0.023099031299352646,6.7203,
roberta-large,8.0,0.9929325182041198,0.9606972261795023,0.9567684860624269,0.9646583641871423,0.052413031458854675,0.0057,,0.025671614333987236,6.7879,
roberta-large,9.0,0.9934192593746349,0.9648990533634917,0.9606338615512927,0.9692022887916526,0.05063081160187721,0.0041,,4.665299892425537,6.8525,
